pair_id,food_category_code,food_category,waste_reason_code,waste_reason,food_is_residual,reason_is_residual,pairing_method,joint_distribution_status,random_seed
PAIR_001,BAKERY_GRAINS,Bakery and grain products,NO_LONGER_WANTED,Food no longer wanted,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_002,FRUITS_BERRIES,Fruits and berries,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_003,HOME_COOKED_FOOD,Home-cooked food,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_004,MEAT_FISH_EGGS,"Meat, fish and eggs",SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_005,VEGETABLES_POTATOES,Vegetables and potatoes,OTHER_REASON,Other reason,false,true,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_006,VEGETABLES_POTATOES,Vegetables and potatoes,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_007,HOME_COOKED_FOOD,Home-cooked food,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_008,VEGETABLES_POTATOES,Vegetables and potatoes,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_009,HOME_COOKED_FOOD,Home-cooked food,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_010,FRUITS_BERRIES,Fruits and berries,OTHER_REASON,Other reason,false,true,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_011,HOME_COOKED_FOOD,Home-cooked food,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_012,MEAT_FISH_EGGS,"Meat, fish and eggs",OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_013,CONVENIENCE_TAKEAWAY,Convenience and takeaway food,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_014,VEGETABLES_POTATOES,Vegetables and potatoes,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_015,BAKERY_GRAINS,Bakery and grain products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_016,VEGETABLES_POTATOES,Vegetables and potatoes,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_017,CONVENIENCE_TAKEAWAY,Convenience and takeaway food,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_018,RICE_PASTA,Rice and pasta,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_019,MEAT_FISH_EGGS,"Meat, fish and eggs",PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_020,OTHER_FOOD,Other food,OTHER_REASON,Other reason,true,true,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_021,BAKERY_GRAINS,Bakery and grain products,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_022,BAKERY_GRAINS,Bakery and grain products,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_023,FRUITS_BERRIES,Fruits and berries,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_024,BAKERY_GRAINS,Bakery and grain products,OTHER_REASON,Other reason,false,true,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_025,MILK_PRODUCTS,Milk products,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_026,BAKERY_GRAINS,Bakery and grain products,SUSPECTED_PAST_BEST,Suspected to be past its best,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_027,VEGETABLES_POTATOES,Vegetables and potatoes,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_028,MILK_PRODUCTS,Milk products,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_029,MILK_PRODUCTS,Milk products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_030,MEAT_FISH_EGGS,"Meat, fish and eggs",DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_031,VEGETABLES_POTATOES,Vegetables and potatoes,OTHER_REASON,Other reason,false,true,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_032,MEAT_FISH_EGGS,"Meat, fish and eggs",SUSPECTED_PAST_BEST,Suspected to be past its best,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_033,BAKERY_GRAINS,Bakery and grain products,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_034,MILK_PRODUCTS,Milk products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_035,CONVENIENCE_TAKEAWAY,Convenience and takeaway food,PLATE_LEFTOVERS,Plate leftovers,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_036,FRUITS_BERRIES,Fruits and berries,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_037,OTHER_FOOD,Other food,NO_LONGER_WANTED,Food no longer wanted,true,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_038,VEGETABLES_POTATOES,Vegetables and potatoes,SUSPECTED_PAST_BEST,Suspected to be past its best,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_039,MILK_PRODUCTS,Milk products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_040,MILK_PRODUCTS,Milk products,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_041,BAKERY_GRAINS,Bakery and grain products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_042,HOME_COOKED_FOOD,Home-cooked food,OTHER_REASON,Other reason,false,true,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_043,RICE_PASTA,Rice and pasta,NO_LONGER_WANTED,Food no longer wanted,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_044,FRUITS_BERRIES,Fruits and berries,SUSPECTED_PAST_BEST,Suspected to be past its best,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_045,MILK_PRODUCTS,Milk products,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_046,CONVENIENCE_TAKEAWAY,Convenience and takeaway food,NO_LONGER_WANTED,Food no longer wanted,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_047,VEGETABLES_POTATOES,Vegetables and potatoes,NO_LONGER_WANTED,Food no longer wanted,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_048,HOME_COOKED_FOOD,Home-cooked food,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_049,VEGETABLES_POTATOES,Vegetables and potatoes,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_050,VEGETABLES_POTATOES,Vegetables and potatoes,SPOILED_MOULDY,Spoiled or mouldy,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_051,HOME_COOKED_FOOD,Home-cooked food,DATE_EXPIRED,Best-before or use-by date expired,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
PAIR_052,CONVENIENCE_TAKEAWAY,Convenience and takeaway food,OVER_PREPARED,Over-prepared,false,false,plausibility_constrained_pairing,synthetic_not_empirically_observed,20260819
